slug,groupId,typeId,name,contact,brandIdentity,frontdesk,moduleOverrides
africa-new-life-church,africa-new-life,generic,Africa New Life — Kigali Community Church,"{""whatsapp"":""15550003003""}","{""template"":""empathy""}","{""template"":""informational"",""headline"":""Growing faith, transforming lives."",""subheadline"":""Worship services, theology training, and community outreach."",""heroImage"":""https://images.unsplash.com/photo-1438032005730-c779502df39b?w=1200&h=500&fit=crop"",""categories"":[{""label"":""Worship Services"",""image"":""https://images.unsplash.com/photo-1507692049790-de58290a4334?w=200&h=200&fit=crop""},{""label"":""Theology Training"",""image"":""https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=200&h=200&fit=crop""},{""label"":""Outreach"",""image"":""https://images.unsplash.com/photo-1593113646773-028c64a8f1b8?w=200&h=200&fit=crop""}],""info"":[{""icon"":""\ud83d\udccd"",""text"":""Kigali, Rwanda""},{""icon"":""\ud83d\udd52"",""text"":""Services Sun 8 AM & 10 AM""},{""icon"":""\u271d\ufe0f"",""text"":""Africa College of Theology graduates serving here""},{""icon"":""\u26a1"",""text"":""Human takeover within 5 minutes""}]}",
africa-new-life-school,africa-new-life,generic,Africa New Life — Sponsorship School,"{""whatsapp"":""15550003003""}","{""template"":""empathy""}","{""headline"":""Education that breaks the cycle of poverty."",""subheadline"":""Child sponsorship, tutoring, and vocational training programs."",""heroImage"":""https://images.unsplash.com/photo-1580582932707-520aed937b7b?w=1200&h=500&fit=crop"",""categories"":[{""label"":""Child Sponsorship"",""image"":""https://images.unsplash.com/photo-1497486751825-1233686d5d80?w=200&h=200&fit=crop""},{""label"":""Tutoring"",""image"":""https://images.unsplash.com/photo-1524178232363-1fb2b075b655?w=200&h=200&fit=crop""},{""label"":""Vocational Training"",""image"":""https://images.unsplash.com/photo-1584464491033-06628f3a6b7b?w=200&h=200&fit=crop""}],""info"":[{""icon"":""\ud83d\udccd"",""text"":""Kigali, Rwanda""},{""icon"":""\ud83d\udd52"",""text"":""Open Mon\u2013Fri, 7 AM \u2013 4 PM""},{""icon"":""\ud83c\udf93"",""text"":""19,000+ students sponsored since 2001""},{""icon"":""\u26a1"",""text"":""Human takeover within 5 minutes""}]}","[{""id"":""customers"",""label"":""Students""}]"
africa-new-life-hospital,africa-new-life,generic,Africa New Life — Healthy Body Clinic,"{""whatsapp"":""15550003003""}","{""template"":""empathy""}","{""headline"":""Healthy bodies for a healthy community."",""subheadline"":""Medical checkups, maternal care, and family health services."",""heroImage"":""https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?w=1200&h=500&fit=crop"",""categories"":[{""label"":""Checkups"",""image"":""https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=200&h=200&fit=crop""},{""label"":""Maternal Care"",""image"":""https://images.unsplash.com/photo-1584515979956-d9f6e5d09982?w=200&h=200&fit=crop""},{""label"":""Family Health"",""image"":""https://images.unsplash.com/photo-1631217868264-e5b90bb7e133?w=200&h=200&fit=crop""}],""info"":[{""icon"":""\ud83d\udccd"",""text"":""Kigali, Rwanda""},{""icon"":""\ud83d\udd52"",""text"":""Open daily, 8 AM \u2013 6 PM""},{""icon"":""\ud83c\udfe5"",""text"":""Serving sponsored children and their families""},{""icon"":""\u26a1"",""text"":""Human takeover within 5 minutes""}]}","[{""id"":""customers"",""label"":""Patients""}]"
artists-hub-kimihurura,artists-hub,generic,Kigali Artists Hub — Kimihurura,"{""whatsapp"":""15550002002""}","{""template"":""empathy""}","{""headline"":""Rwandan culture, live and hands-on."",""subheadline"":""Events, cultural games, trainings, and traditional instruments."",""heroImage"":""https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3?w=1200&h=500&fit=crop"",""categories"":[{""label"":""Events"",""image"":""https://images.unsplash.com/photo-1470229722913-7c0e2dbbafd3?w=200&h=200&fit=crop""},{""label"":""Cultural Games"",""image"":""https://images.unsplash.com/photo-1610890716171-6b1bb98ffd09?w=200&h=200&fit=crop""},{""label"":""Trainings"",""image"":""https://images.unsplash.com/photo-1460661419201-fd4cecdf8a8b?w=200&h=200&fit=crop""},{""label"":""Instruments"",""image"":""https://images.unsplash.com/photo-1465847899084-d164df4dedc6?w=200&h=200&fit=crop""}],""info"":[{""icon"":""\ud83d\udccd"",""text"":""Kimihurura""},{""icon"":""\ud83d\udd52"",""text"":""Open Tue\u2013Sun, 10 AM \u2013 7 PM""},{""icon"":""\ud83c\udfad"",""text"":""New events posted every month""},{""icon"":""\u26a1"",""text"":""Human takeover within 5 minutes""}]}",
artists-hub-nyamirambo,artists-hub,generic,Kigali Artists Hub — Nyamirambo,"{""whatsapp"":""15550002002""}","{""template"":""empathy""}","{""template"":""talent"",""headline"":""Tourism and talent, straight from the neighborhood."",""subheadline"":""Guided tours, homestays, and talent bookings."",""heroImage"":""https://images.unsplash.com/photo-1516426122078-c23e76319801?w=1200&h=500&fit=crop"",""categories"":[{""label"":""Tourism"",""image"":""https://images.unsplash.com/photo-1516426122078-c23e76319801?w=200&h=200&fit=crop""},{""label"":""Talent Booking"",""image"":""https://images.unsplash.com/photo-1516450360452-9312f5e86fc7?w=200&h=200&fit=crop""}],""info"":[{""icon"":""\ud83d\udccd"",""text"":""Nyamirambo""},{""icon"":""\ud83d\udd52"",""text"":""Open Tue\u2013Sun, 10 AM \u2013 7 PM""},{""icon"":""\ud83c\udfad"",""text"":""Bookings available same week""},{""icon"":""\u26a1"",""text"":""Human takeover within 5 minutes""}]}",
electronics,,shop,ByteMart Electronics,"{""whatsapp"":""15550004004""}","{""template"":""winter""}","{""headline"":""The latest tech, in stock now."",""subheadline"":""Phones, laptops, audio, gaming, and accessories \u2014 with same-day delivery in Kigali."",""heroImage"":""https://images.unsplash.com/photo-1498049794561-7780e7231661?w=1200&h=500&fit=crop"",""categories"":[{""label"":""Phones"",""image"":""https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=200&h=200&fit=crop""},{""label"":""Laptops"",""image"":""https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=200&h=200&fit=crop""},{""label"":""Audio"",""image"":""https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=200&h=200&fit=crop""},{""label"":""Gaming"",""image"":""https://images.unsplash.com/photo-1493711662062-fa541adb3fc8?w=200&h=200&fit=crop""},{""label"":""Accessories"",""image"":""https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=200&h=200&fit=crop""}],""info"":[{""icon"":""\ud83d\udccd"",""text"":""Kigali Heights""},{""icon"":""\ud83d\udd52"",""text"":""Open daily, 9 AM \u2013 9 PM""},{""icon"":""\ud83d\ude9a"",""text"":""Same-day delivery in Kigali""},{""icon"":""\u26a1"",""text"":""Human takeover within 5 minutes""}]}",
hardware,,shop,BuildRight Hardware,"{""whatsapp"":""15550005005""}","{""template"":""empathy""}","{""headline"":""Everything for the job, in one place."",""subheadline"":""Tools, paint, plumbing, electrical, and garden supplies for builders and DIYers."",""heroImage"":""https://images.unsplash.com/photo-1504148455328-c376907d081c?w=1200&h=500&fit=crop"",""categories"":[{""label"":""Tools"",""image"":""https://images.unsplash.com/photo-1581147036324-c1c9b6a0e6b4?w=200&h=200&fit=crop""},{""label"":""Paint"",""image"":""https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=200&h=200&fit=crop""},{""label"":""Plumbing"",""image"":""https://images.unsplash.com/photo-1585704032915-c3400ca199e7?w=200&h=200&fit=crop""},{""label"":""Electrical"",""image"":""https://images.unsplash.com/photo-1621905251189-08b45d6a269e?w=200&h=200&fit=crop""},{""label"":""Garden"",""image"":""https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=200&h=200&fit=crop""}],""info"":[{""icon"":""\ud83d\udccd"",""text"":""Nyabugogo""},{""icon"":""\ud83d\udd52"",""text"":""Open Mon\u2013Sat, 7 AM \u2013 7 PM""},{""icon"":""\ud83d\ude9a"",""text"":""Delivery available""},{""icon"":""\u26a1"",""text"":""Human takeover within 5 minutes""}]}",
insurance,,generic,Umutekano Insurance,"{""whatsapp"":""15550003003""}","{""template"":""winter""}","{""template"":""services"",""headline"":""Protection you can count on."",""subheadline"":""Auto, health, home, life, and business cover \u2014 talk to us and get a quote today."",""heroImage"":""https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=1200&h=500&fit=crop"",""categories"":[{""label"":""Auto"",""image"":""https://images.unsplash.com/photo-1502877338535-766e1452684a?w=200&h=200&fit=crop""},{""label"":""Health"",""image"":""https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=200&h=200&fit=crop""},{""label"":""Home"",""image"":""https://images.unsplash.com/photo-1560518883-ce09059eeffa?w=200&h=200&fit=crop""},{""label"":""Life"",""image"":""https://images.unsplash.com/photo-1511895426328-dc8714191300?w=200&h=200&fit=crop""},{""label"":""Business"",""image"":""https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=200&h=200&fit=crop""}],""info"":[{""icon"":""\ud83d\udccd"",""text"":""Kigali City Centre""},{""icon"":""\ud83d\udd52"",""text"":""Open Mon\u2013Fri, 8 AM \u2013 6 PM""},{""icon"":""\ud83d\udcde"",""text"":""24/7 claims hotline""},{""icon"":""\u26a1"",""text"":""Human takeover within 5 minutes""}]}",
platform,,generic,Lever,"{""whatsapp"":""15550000000""}","{""template"":""empathy""}","{""headline"":""Bring your business online."",""subheadline"":""One storefront and backoffice for gyms, shops, studios, and more \u2014 pick a plan and get onboarded."",""heroImage"":""https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=1200&h=500&fit=crop"",""categories"":[{""label"":""Memberships"",""image"":""https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=200&h=200&fit=crop""}],""info"":[{""icon"":""\ud83d\udccd"",""text"":""Kigali, Rwanda""},{""icon"":""\ud83d\udd52"",""text"":""Support Mon\u2013Fri, 8 AM \u2013 6 PM""},{""icon"":""\ud83d\ude80"",""text"":""Onboarding in under a week""},{""icon"":""\u26a1"",""text"":""Human takeover within 5 minutes""}]}",
personal,,generic,My Life,"{""whatsapp"":""15550006006""}","{""template"":""empathy""}","{""headline"":""Welcome to My Life"",""subheadline"":""Personal workspace \u2014 no public storefront yet."",""categories"":[],""info"":[]}",
